Job,2015,2014,2013,2012,2011,Industry
"Shipping, receiving, and traffic clerks",30732,30784,28028,28912,29224,Office and administrative support occupations
Stock clerks and order fillers,27040,26416,25792,26260,25584,Office and administrative support occupations
"Weighers, measurers, checkers, and samplers, recordkeeping",32708,33592,32448,33176,30992,Office and administrative support occupations
Secretaries and administrative assistants,35724,35932,35412,34788,34008,Office and administrative support occupations
Computer operators,39052,39728,38064,40820,37648,Office and administrative support occupations
Data entry keyers,32188,32552,32968,30732,30940,Office and administrative support occupations
Word processors and typists,33800,32344,32292,32448,31148,Office and administrative support occupations
Insurance claims and policy processing clerks,35828,33644,33904,33436,34320,Office and administrative support occupations
"Mail clerks and mail machine operators, except postal service",29276,29484,,30160,27092,Office and administrative support occupations
"Office clerks, general",32240,32760,31096,31252,31408,Office and administrative support occupations
"Office and administrative support workers, all other",38740,38012,37648,36764,35308,Office and administrative support occupations
"Natural resources, construction, and maintenance occupations",39572,39312,38844,38480,38064,"Natural resources, construction, and maintenance occupations"
"Farming, fishing, and forestry occupations",24128,22308,23296,22620,22360,"Farming, fishing, and forestry occupations"
"Graders and sorters, agricultural products",25272,20228,21632,21320,19708,"Farming, fishing, and forestry occupations"
Miscellaneous agricultural workers,23140,21892,22256,22152,21788,"Farming, fishing, and forestry occupations"
Construction and extraction occupations,38948,39312,38064,38480,37284,Construction and extraction occupations
First-line supervisors of construction trades and extraction workers,54080,53404,51480,52988,51584,Construction and extraction occupations
"Brickmasons, blockmasons, and stonemasons",33904,34164,39936,33332,36920,Construction and extraction occupations
Carpenters,35724,36192,34164,35100,32760,Construction and extraction occupations
"Carpet, floor, and tile installers and finishers",33124,35516,30264,31148,30108,Construction and extraction occupations
"Cement masons, concrete finishers, and terrazzo workers",,,,31252,33852,Construction and extraction occupations
Construction laborers,33228,31460,30888,31564,30472,Construction and extraction occupations
Operating engineers and other construction equipment operators,44512,44928,41652,41860,42068,Construction and extraction occupations
"Drywall installers, ceiling tile installers, and tapers",30992,31044,27092,29536,26364,Construction and extraction occupations
Electricians,46176,45916,49348,48464,44564,Construction and extraction occupations
"Painters, construction and maintenance",30420,29276,29952,29536,28288,Construction and extraction occupations
"Pipelayers, plumbers, pipefitters, and steamfitters",44876,47476,47268,45656,44252,Construction and extraction occupations
Roofers,30368,32136,29432,27716,27196,Construction and extraction occupations
Sheet metal workers,39832,45136,41028,46020,41860,Construction and extraction occupations
Structural iron and steel workers,45188,,,39468,45240,Construction and extraction occupations
"Helpers, construction trades",,26676,,,24388,Construction and extraction occupations
Construction and building inspectors,48828,53612,46956,48464,47112,Construction and extraction occupations
Highway maintenance workers,39208,41288,36868,35516,36816,Construction and extraction occupations
"Derrick, rotary drill, and service unit operators, oil, gas, and mining",,61724,,,,Construction and extraction occupations
Mining machine operators,57512,54184,52728,51844,53144,Construction and extraction occupations
Other extraction workers,46800,58240,47840,51220,,Construction and extraction occupations
"Installation, maintenance, and repair occupations",43628,42692,42692,42016,41912,"Installation, maintenance, and repair occupations"
"First-line supervisors of mechanics, installers, and repairers",53664,53144,50960,48672,49244,"Installation, maintenance, and repair occupations"
"Computer, automated teller, and office machine repairers",44512,45760,45500,44408,42172,"Installation, maintenance, and repair occupations"
Radio and telecommunications equipment installers and repairers,44824,44668,53300,46020,46696,"Installation, maintenance, and repair occupations"
Security and fire alarm systems installers,47372,,40560,,,"Installation, maintenance, and repair occupations"
Aircraft mechanics and service technicians,53300,56160,50856,51636,51376,"Installation, maintenance, and repair occupations"
Automotive body and related repairers,43992,34580,35724,32188,32448,"Installation, maintenance, and repair occupations"
Automotive service technicians and mechanics,37544,38168,37076,36504,37128,"Installation, maintenance, and repair occupations"
Bus and truck mechanics and diesel engine specialists,43212,42276,41288,43836,41652,"Installation, maintenance, and repair occupations"
Heavy vehicle and mobile equipment service technicians and mechanics,48256,46020,45084,48932,42744,"Installation, maintenance, and repair occupations"
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",30784,29068,24336,25636,24076,"Installation, maintenance, and repair occupations"
"Heating, air conditioning, and refrigeration mechanics and installers",41912,39988,41184,43004,41236,"Installation, maintenance, and repair occupations"
Industrial and refractory machinery mechanics,46540,45552,46592,45084,45136,"Installation, maintenance, and repair occupations"
"Maintenance and repair workers, general",40196,42276,41860,38012,39416,"Installation, maintenance, and repair occupations"
Millwrights,,,52988,48776,46384,"Installation, maintenance, and repair occupations"
Electrical power-line installers and repairers,57460,52676,47944,51376,58032,"Installation, maintenance, and repair occupations"
Telecommunications line installers and repairers,45864,45188,48360,47580,47580,"Installation, maintenance, and repair occupations"
Precision instrument and equipment repairers,51792,42536,49452,,46696,"Installation, maintenance, and repair occupations"
"Other installation, maintenance, and repair workers",41184,41808,34684,35204,34892,"Installation, maintenance, and repair occupations"
"Production, transportation, and material moving occupations",34112,33384,32292,32448,31668,"Production, transportation, and material moving occupations"
Production occupations,34476,33592,32396,32604,31460,Production occupations
First-line supervisors of production and operating workers,45500,46956,46904,47684,46176,Production occupations
"Electrical, electronics, and electromechanical assemblers",28808,28444,26156,29328,27092,Production occupations
Miscellaneous assemblers and fabricators,30212,30784,29328,28964,26988,Production occupations
Bakers,26260,25584,26260,24648,23296,Production occupations
"Butchers and other meat, poultry, and fish processing workers",28184,26624,26312,26364,26208,Production occupations
Food batchmakers,26000,24596,26832,26624,28808,Production occupations
Food cooking machine operators and tenders,,,,,,Production occupations
"Food processing workers, all other",30888,33124,29692,27508,27768,Production occupations
Computer control programmers and operators,43316,39468,44148,36920,40040,Production occupations
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",32916,32240,28340,28912,30732,Production occupations
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",,,31720,30576,33436,Production occupations
Machinists,43368,39728,40404,39520,39260,Production occupations
